;instance;method;found;bound;time
0;brock800_4.txt;desc_base;14;26;1.4642188549041748
1;brock800_4.txt;desc_dyn;14;26;1.6728644371032715
2;brock800_4.txt;desc_ran;14;26;1.0601744651794434
3;brock800_4.txt;mult_ran;14;26;2.2558538913726807
4;C2000.5.txt;desc_base;10;16;6.051696300506592
5;C2000.5.txt;desc_dyn;10;16;3.2467238903045654
6;C2000.5.txt;desc_ran;10;16;3.196254014968872
7;C2000.5.txt;mult_ran;12;16;4.157361745834351
8;C500.9.txt;desc_base;43;57;0.7699613571166992
9;C500.9.txt;desc_dyn;42;57;0.8796525001525879
10;C500.9.txt;desc_ran;46;57;1.125781536102295
11;C500.9.txt;mult_ran;41;57;1.9144504070281982
12;gen400_p0.9_75.txt;desc_base;47;75;0.617774486541748
13;gen400_p0.9_75.txt;desc_dyn;47;75;0.5363368988037109
14;gen400_p0.9_75.txt;desc_ran;44;75;0.5835845470428467
15;gen400_p0.9_75.txt;mult_ran;44;75;1.3931398391723633
16;p_hat1500-3.txt;desc_base;75;94;7.04465913772583
17;p_hat1500-3.txt;desc_dyn;75;94;7.824190616607666
18;p_hat1500-3.txt;desc_ran;77;94;6.938046932220459
19;p_hat1500-3.txt;mult_ran;80;94;10.420721530914307
20;p_hat700-1.txt;desc_base;7;11;0.48679423332214355
21;p_hat700-1.txt;desc_dyn;7;11;0.4570310115814209
22;p_hat700-1.txt;desc_ran;6;11;0.4915182590484619
23;p_hat700-1.txt;mult_ran;7;11;0.8099420070648193
24;dsjc1000.1.col;desc_base;5;6;0.32399988174438477
25;dsjc1000.1.col;desc_dyn;5;6;0.4809906482696533
26;dsjc1000.1.col;desc_ran;4;6;0.5203948020935059
27;dsjc1000.1.col;mult_ran;5;6;1.3004581928253174
28;dsjc1000.5.col;desc_base;10;14;2.1683695316314697
29;dsjc1000.5.col;desc_dyn;10;14;2.1229734420776367
30;dsjc1000.5.col;desc_ran;12;14;1.6161487102508545
31;dsjc1000.5.col;mult_ran;10;14;2.922933578491211
32;dsjc1000.9.col;desc_base;53;62;3.010082960128784
33;dsjc1000.9.col;desc_dyn;51;62;2.8555328845977783
34;dsjc1000.9.col;desc_ran;53;62;3.492375373840332
35;dsjc1000.9.col;mult_ran;49;62;4.750823497772217
36;dsjc250.5.col;desc_base;8;12;0.1310422420501709
37;dsjc250.5.col;desc_dyn;9;12;0.13602590560913086
38;dsjc250.5.col;desc_ran;8;12;0.13105249404907227
39;dsjc250.5.col;mult_ran;7;12;0.2883932590484619
40;dsjc500.1.col;desc_base;3;5;0.10805416107177734
41;dsjc500.1.col;desc_dyn;3;5;0.11406254768371582
42;dsjc500.1.col;desc_ran;4;5;0.08008074760437012
43;dsjc500.1.col;mult_ran;4;5;0.12757039070129395
44;dsjc500.5.col;desc_base;8;13;0.17672252655029297
45;dsjc500.5.col;desc_dyn;10;13;0.18050885200500488
46;dsjc500.5.col;desc_ran;10;13;0.18717074394226074
47;dsjc500.5.col;mult_ran;8;13;0.30693721771240234
48;dsjc500.9.col;desc_base;43;52;0.6906948089599609
49;dsjc500.9.col;desc_dyn;43;52;0.9066164493560791
50;dsjc500.9.col;desc_ran;42;52;0.9600272178649902
51;dsjc500.9.col;mult_ran;42;52;1.4695136547088623
