;instance;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;14;19;26;26.9%;2.6%;4.886114835739136;130;707
1;C2000.5.txt;10;14;16;12.5%;1.0%;12.938592195510864;144;286
2;C500.9.txt;43;53;57;7.0%;10.0%;13.753976821899414;513;1009
3;gen400_p0.9_75.txt;47;51;75;32.0%;12.0%;13.447227478027344;629;1306
4;p_hat1500-3.txt;75;92;94;2.1%;4.1%;23.429203033447266;253;316
5;p_hat700-1.txt;7;9;11;18.2%;1.7%;1.7924151420593262;55;796
6;dsjc1000.1.col;5;5;6;16.7%;1.0%;0.0;0;720
7;dsjc1000.5.col;10;13;14;7.1%;2.3%;10.90641474723816;219;546
8;dsjc1000.9.col;53;61;62;1.6%;6.6%;23.5398268699646;486;601
9;dsjc250.5.col;8;11;12;8.3%;4.4%;0.06781768798828125;8;2198
10;dsjc500.1.col;3;5;5;0.0%;1.6%;0.017953872680664062;2;1650
11;dsjc500.5.col;8;13;13;0.0%;3.8%;25.961015224456787;1103;1237
12;dsjc500.9.col;43;54;52;-3.8%;9.8%;27.56656050682068;1067;1150
