;instance;max_k;start/end/bound;gap;start_to_end_proximity;time of best;iteration_of_best;total_iterations
0;brock200_2.col;2;7/9/12;25.0%;97.0%;0.07399511337280273;2;517
1;brock200_2.col;3;7/9/12;25.0%;97.0%;0.027985334396362305;2;490
2;brock200_2.col;4;7/10/12;16.7%;96.5%;0.03600788116455078;2;435
3;brock200_2.col;5;7/9/12;25.0%;97.0%;0.044965267181396484;2;335
4;brock200_2.col;6;7/10/12;16.7%;95.5%;0.5619995594024658;17;383
5;brock200_2.col;7;7/9/12;25.0%;95.0%;0.44699811935424805;20;455
6;brock200_2.col;8;7/10/12;16.7%;96.5%;0.029000282287597656;2;448
7;brock200_2.col;9;7/9/12;25.0%;94.0%;0.4360361099243164;21;459
8;dsjc125.1.col;2;4/4/4;0.0%;100.0%;0.0;0;627
9;dsjc125.1.col;3;4/4/4;0.0%;100.0%;0.0;0;797
10;dsjc125.1.col;4;4/4/4;0.0%;100.0%;0.0;0;1046
11;dsjc125.1.col;5;4/4/4;0.0%;100.0%;0.0;0;902
12;dsjc125.1.col;6;4/4/4;0.0%;100.0%;0.0;0;1099
13;dsjc125.1.col;7;4/4/4;0.0%;100.0%;0.0;0;862
14;dsjc125.1.col;8;4/4/4;0.0%;100.0%;0.0;0;1097
15;dsjc125.1.col;9;4/4/4;0.0%;100.0%;0.0;0;1055
16;random-10.col;2;5/5/5;0.0%;100.0%;0.0;0;14544
17;random-10.col;3;5/5/5;0.0%;100.0%;0.0;0;12193
18;random-10.col;4;5/5/5;0.0%;100.0%;0.0;0;12916
19;random-10.col;5;5/5/5;0.0%;100.0%;0.0;0;14964
20;random-10.col;6;5/5/5;0.0%;100.0%;0.0;0;18600
21;random-10.col;7;5/5/5;0.0%;100.0%;0.0;0;14945
22;random-10.col;8;5/5/5;0.0%;100.0%;0.0;0;17170
23;random-10.col;9;5/5/5;0.0%;100.0%;0.0;0;16419
24;random-100.col;2;8/9/9;0.0%;93.0%;0.024965763092041016;3;1056
25;random-100.col;3;8/9/9;0.0%;93.0%;0.8340003490447998;89;1074
26;random-100.col;4;8/9/9;0.0%;93.0%;0.22400379180908203;20;1033
27;random-100.col;5;8/9/9;0.0%;93.0%;0.12903261184692383;13;1124
28;random-100.col;6;8/9/9;0.0%;93.0%;2.2919986248016357;257;1049
29;random-100.col;7;8/9/9;0.0%;93.0%;0.5839972496032715;58;1046
30;random-100.col;8;8/9/9;0.0%;93.0%;3.0759623050689697;352;1122
31;random-100.col;9;8/9/9;0.0%;93.0%;1.7419612407684326;203;1050
32;random-40.col;2;7/7/7;0.0%;100.0%;0.0;0;2784
33;random-40.col;3;7/7/7;0.0%;100.0%;0.0;0;3425
34;random-40.col;4;7/7/7;0.0%;100.0%;0.0;0;3434
35;random-40.col;5;7/7/7;0.0%;100.0%;0.0;0;3375
36;random-40.col;6;7/7/7;0.0%;100.0%;0.0;0;2390
37;random-40.col;7;7/7/7;0.0%;100.0%;0.0;0;3223
38;random-40.col;8;7/7/7;0.0%;100.0%;0.0;0;2261
39;random-40.col;9;7/7/7;0.0%;100.0%;0.0;0;3243
40;random-70.col;2;7/8/8;0.0%;92.9%;0.17095947265625;32;1660
41;random-70.col;3;7/8/8;0.0%;92.9%;0.1510004997253418;13;1215
42;random-70.col;4;7/8/8;0.0%;92.9%;0.22800374031066895;49;1615
43;random-70.col;5;7/8/8;0.0%;90.0%;0.023996829986572266;3;1555
44;random-70.col;6;7/8/8;0.0%;90.0%;0.8259994983673096;35;1523
45;random-70.col;7;7/8/8;0.0%;92.9%;0.08000683784484863;15;1696
46;random-70.col;8;7/8/8;0.0%;92.9%;0.17503833770751953;36;1707
47;random-70.col;9;7/8/8;0.0%;92.9%;0.14800024032592773;28;1698
