;instance;max_k;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;2;14;17;26;34.6%;99.1%;0.25400233268737793;2;243
1;brock800_4.txt;5;14;18;26;30.8%;98.0%;21.466479301452637;161;224
2;brock800_4.txt;8;14;17;26;34.6%;99.1%;0.9565532207489014;8;266
3;brock800_4.txt;11;14;17;26;34.6%;99.1%;0.40796756744384766;3;273
4;brock800_4.txt;14;14;17;26;34.6%;98.4%;1.9609603881835938;16;240
5;brock800_4.txt;17;14;17;26;34.6%;99.1%;0.6610438823699951;6;240
6;C2000.5.txt;2;10;14;16;12.5%;99.3%;11.53819990158081;48;105
7;C2000.5.txt;5;10;13;16;18.8%;99.6%;20.600666522979736;88;126
8;C2000.5.txt;8;10;13;16;18.8%;99.6%;1.7559633255004883;7;115
9;C2000.5.txt;11;10;15;16;6.2%;99.1%;21.006049871444702;78;113
10;C2000.5.txt;14;10;13;16;18.8%;99.5%;2.6749966144561768;12;136
11;C2000.5.txt;17;10;13;16;18.8%;99.7%;0.2450416088104248;1;121
12;C500.9.txt;2;43;50;57;12.3%;95.8%;7.050380706787109;51;208
13;C500.9.txt;5;43;51;57;10.5%;95.6%;4.365974187850952;28;208
14;C500.9.txt;8;43;50;57;12.3%;95.0%;27.472961902618408;195;212
15;C500.9.txt;11;43;50;57;12.3%;94.2%;15.582953453063965;113;218
16;C500.9.txt;14;43;49;57;14.0%;95.2%;1.6280405521392822;9;195
17;C500.9.txt;17;43;52;57;8.8%;94.6%;9.101867914199829;35;149
18;gen400_p0.9_75.txt;2;47;50;75;33.3%;98.2%;0.6480019092559814;5;224
19;gen400_p0.9_75.txt;5;47;50;75;33.3%;97.8%;4.072009325027466;30;223
20;gen400_p0.9_75.txt;8;47;49;75;34.7%;98.5%;1.8240361213684082;14;226
21;gen400_p0.9_75.txt;11;47;49;75;34.7%;98.5%;0.33700132369995117;3;270
22;gen400_p0.9_75.txt;14;47;50;75;33.3%;97.2%;1.2820022106170654;9;284
23;gen400_p0.9_75.txt;17;47;49;75;34.7%;98.5%;0.2550332546234131;2;272
24;p_hat1500-3.txt;2;75;81;94;13.8%;98.9%;16.179390907287598;18;31
25;p_hat1500-3.txt;5;75;82;94;12.8%;98.5%;11.526047706604004;14;37
26;p_hat1500-3.txt;8;75;82;94;12.8%;98.9%;20.345094442367554;23;33
27;p_hat1500-3.txt;11;75;83;94;11.7%;98.7%;25.459444761276245;34;40
28;p_hat1500-3.txt;14;75;82;94;12.8%;98.7%;22.881996870040894;32;42
29;p_hat1500-3.txt;17;75;88;94;6.4%;97.7%;23.523035287857056;29;35
30;p_hat700-1.txt;2;7;8;11;27.3%;99.6%;0.22999811172485352;3;429
31;p_hat700-1.txt;5;7;9;11;18.2%;98.6%;15.576000213623047;236;445
32;p_hat700-1.txt;8;7;8;11;27.3%;99.6%;0.018953800201416016;1;413
33;p_hat700-1.txt;11;7;8;11;27.3%;99.6%;0.09399938583374023;2;430
34;p_hat700-1.txt;14;7;9;11;18.2%;98.9%;0.49996423721313477;5;423
35;p_hat700-1.txt;17;7;9;11;18.2%;98.6%;1.1599979400634766;18;409
